"mem_signup_month","num_days_as_member","acquisition_source","days_between_first_and_second_order","days_between_second_and_third_order","days_between_third_and_fourth_order","days_between_fourth_and_fifth_order","spicy_preference_index","sweet_preference_index","tart_preference_index","has_purchased_a_limited_edition_sku","has_spent_more_than_50_dollars"
11,359,"friends/family",57,22,1,17,0.041,0.3179,0.282,1,1
12,355,"friends/family",0,0,0,0,0,0.4444,0.2777,0,0
1,321,"youtube",0,0,0,0,0.0888,0.3111,0.3888,0,0
1,325,"facebook",0,0,0,0,0,0.35,0.125,0,0
12,327,"unknown",0,0,0,0,0,0.6,0.375,0,0
12,349,"facebook",0,0,0,0,0,0.2,0.5,0,0
12,348,"podcast",0,0,0,0,0.2666,0.2333,0.25,0,0
12,350,"youtube",0,0,0,0,0,0,0,0,0
12,338,"unknown",8,0,0,0,0.08,0.27,0.35,0,0
12,326,"friends/family",16,20,32,65,0.1346,0.3615,0.2884,1,1
12,338,"friends/family",135,88,95,0,0.113,0.2086,0.3478,0,1
12,353,"friends/family",0,96,9,117,0.1333,0.4484,0.2575,1,1
12,349,"facebook",0,0,0,0,0,0.35,0.125,0,0
12,341,"friends/family",0,0,0,0,0.025,0.475,0.375,0,0
12,339,"friends/family",0,0,0,0,0,0.1,0.25,1,0
12,330,"friends/family",0,0,0,0,0,0.5666,0.25,0,0
1,320,"podcast",122,0,0,0,0.0666,0.5333,0.25,0,0
11,362,"unknown",0,0,0,0,0.1428,0.1428,0.2857,1,0
1,323,"youtube",100,49,90,73,0.1142,0.3857,0.3928,0,1
12,343,"friends/family",0,0,0,0,0,0.275,0.3125,1,0
12,341,"friends/family",39,0,0,0,0.0909,0.2181,0.3636,1,0
11,357,"unknown",0,0,0,0,0,0.6857,0.3571,0,0
12,331,"friends/family",21,32,0,0,0.24,0.256,0.32,1,1
12,342,"friends/family",341,0,0,0,0.125,0.3083,0.2916,1,1
11,359,"friends/family",0,0,0,0,0,0.3142,0.4285,0,0
1,321,"podcast",0,0,0,0,0,0.675,0.3125,0,0
12,328,"unknown",16,0,0,0,0.1,0.425,0.25,0,0
1,325,"unknown",0,0,0,0,0,0.8,0.5,0,0
12,338,"podcast",0,0,0,0,0.0571,0.3714,0.3214,0,0
11,358,"unknown",0,0,0,0,0.0833,0.3833,0.2916,0,0
12,334,"podcast",0,0,0,0,0,0.5333,0.5,0,0
12,356,"unknown",0,0,0,0,0,0.3846,0.2692,0,0
12,335,"youtube",221,0,0,0,0,0.5571,0.3571,0,0
1,320,"catalog/mailer",0,0,0,0,0,0.3777,0.2222,0,0
12,346,"youtube",156,90,77,0,0.1222,0.3888,0.2222,0,1
11,359,"friends/family",0,0,0,0,0.6666,0,0.1666,1,0
12,353,"unknown",0,0,0,0,0.08,0.48,0.35,0,0
11,358,"unknown",0,0,0,0,0.125,0.275,0.25,0,0
12,337,"friends/family",0,0,0,0,0.125,0.375,0.375,1,0
11,357,"unknown",0,0,0,0,0,0.4,0.2777,0,0
12,352,"unknown",0,0,0,0,0.0769,0.2461,0.423,0,0
12,329,"youtube",72,62,55,138,0.0461,0.4974,0.2307,1,1
12,344,"friends/family",0,0,0,0,0,0.2571,0.2142,0,0
12,341,"unknown",39,247,0,0,0,0.4888,0.2962,1,1
11,357,"youtube",0,0,0,0,0,0.4285,0.3571,0,0
12,334,"friends/family",0,0,0,0,0.08,0.3,0.3,0,1
12,328,"unknown",0,0,0,0,0,0.3428,0.2857,0,0
12,333,"podcast",255,0,0,0,0,0.7454,0.409,0,1
12,346,"friends/family",33,253,0,0,0.0434,0.4173,0.3695,1,1
12,326,"friends/family",0,0,0,0,0,0.2833,0.1666,0,0
11,359,"google",34,31,28,63,0.3388,0.1833,0.3194,1,1
1,321,"unknown",0,0,0,0,0,0.35,0.125,0,0
12,343,"unknown",0,0,0,0,0,0.48,0.1,0,0
12,337,"friends/family",0,0,0,0,0.1,0.175,0.1875,1,0
12,328,"facebook",0,0,0,0,0,0.35,0.4375,0,0
